	keyword	freq
0	có thể	3809
1	chúng ta	2561
2	Việt Nam	1742
3	vấn đề	1305
4	xã hội	1293
5	bản thân	1244
6	thế giới	1004
7	con người	961
8	thời gian	932
9	người ta	879
10	không thể	871
11	Trung Quốc	805
12	thế nào	778
13	tất cả	766
14	trở thành	746
15	cuộc sống	711
16	cảm thấy	707
17	đàn ông	679
18	phát triển	667
19	bao giờ	650
20	phụ nữ	646
21	công ty	628
22	quan trọng	625
23	suy nghĩ	624
24	thay đổi	622
25	cá nhân	619
26	một cách	614
27	khả năng	596
28	đơn giản	591
29	hoàn toàn	590
30	thực sự	584
31	kinh tế	578
32	bắt đầu	562
33	quốc gia	552
34	Chúng ta	543
35	quan hệ	542
36	thông tin	536
37	giá trị	525
38	tư duy	525
39	sử dụng	523
40	làm việc	503
41	cảm xúc	498
42	gia đình	489
43	quan tâm	487
44	công việc	483
45	trở nên	480
46	trả lời	467
47	thành công	448
48	tác giả	447
49	câu chuyện	444
50	cố gắng	441
51	thậm chí	438
52	đầu tiên	425
53	nghiên cứu	423
54	chia sẻ	421
55	giáo dục	419
56	thực tế	413
57	quyết định	412
58	chúng tôi	406
59	học sinh	405
60	ví dụ	403
61	một số	400
62	tự do	397
63	hành động	394
64	Tuy nhiên	394
65	thể hiện	390
66	tại sao	387
67	lịch sử	385
68	chính phủ	381
69	sản phẩm	377
70	kiến thức	377
71	cuộc đời	374
72	quan điểm	373
73	lý do	373
74	ảnh hưởng	372
75	đặc biệt	369
76	hệ thống	365
77	đánh giá	359
78	hạnh phúc	349
79	đại học	341
80	lựa chọn	341
81	hoạt động	340
82	chấp nhận	339
83	trường hợp	335
84	tồn tại	334
85	xuất hiện	329
86	ủng hộ	322
87	tương lai	316
88	đất nước	311
89	đối với	310
90	văn hóa	309
91	giải quyết	307
92	chắc chắn	306
93	nội dung	304
94	rõ ràng	302
95	xây dựng	302
96	khoa học	302
97	kết quả	300
98	cơ hội	294
99	bảo vệ	294
